Location,Time in Seconds,Age Grade,Time
Achill Greenway,2071.83,49.51,34:31
Ardgillan,1791.41,53.48,29:51
Athlone RSC,1843.21,53.42,30:43
Avondale Forest,1982.52,50.58,33:02
Ballina,1809.62,53.69,30:09
Ballinamore Greenway,2152.76,48.5,35:52
Ballincollig,1741.43,54.23,29:01
Bere Island,2142.29,49.45,35:42
Borrisokane Town,2241.87,46.68,37:21
Brickfields,1861.24,51.51,31:01
Buncrana,2070.69,49.83,34:30
Bundoran Promenade,1961.09,50.54,32:41
Bushy parkrun,1740.69,53.98,29:00
Cabinteely,1800.98,53.55,30:00
Carlow Town,2040.83,49.84,34:00
Castlebar,1704.3,56.25,28:24
Castleblayney,1875.16,52.02,31:15
Castlehaven,1995.72,50.0,33:15
Castlerea,2062.79,49.2,34:22
Claremorris,1833.73,53.87,30:33
Clarisford,1741.29,55.74,29:01
Clonakilty,1759.51,54.27,29:19
Clonbur Woods,2177.47,48.07,36:17
Clonmel,1938.23,51.97,32:18
Con Smith,1868.97,53.6,31:08
Coole,1939.32,52.36,32:19
Cootehill,1759.61,55.41,29:19
Corkagh,1930.75,51.12,32:10
Darndale,1926.1,52.11,32:06
"Deerpark Forest, Virginia ",2003.95,49.51,33:23
"Deerpark, Carlanstown",1906.58,52.55,31:46
Dodder Valley,1879.12,51.86,31:19
Donabate,1817.12,53.71,30:17
Dundalk,1891.02,52.29,31:31
Dungloe,1758.34,55.37,29:18
Edwin Carolan Community,1934.87,52.1,32:14
Erris,2060.72,48.86,34:20
Fairview,1807.51,51.46,30:07
Falcarragh,1905.16,53.64,31:45
Father Collins,1740.43,54.82,29:00
Fenit Greenway,1843.52,55.1,30:43
Fethard Town,1896.22,53.94,31:36
Glen River,1783.61,53.56,29:43
Glenfarne Wood,2124.59,49.63,35:24
Glengarriff,2024.74,50.06,33:44
Gorey,1871.65,53.01,31:11
Griffeen,1746.84,54.69,29:06
Hartstown,1734.93,55.47,28:54
Illaunmanagh,2053.66,50.32,34:13
Inch Beach,1898.46,52.57,31:38
Inis Meáin,2206.27,48.08,36:46
Kilkenny,1799.43,53.65,29:59
Killarney House,1689.71,57.01,28:09
Knockanacree Woods,2127.12,47.19,35:27
Knocknacarra,1718.09,55.41,28:38
Laytown Beach,1942.7,50.94,32:22
Lees Road,1775.14,53.97,29:35
Letterkenny,1881.67,52.3,31:21
Limerick,1732.61,54.37,28:52
Listowel,1857.77,52.71,30:57
Longford,1997.43,49.96,33:17
Lough Key,2144.55,47.36,35:44
Macroom Castle Demesne,1747.65,54.74,29:07
Malahide,1661.92,56.83,27:41
Mallow Castle,1765.68,55.03,29:25
Marlay,1669.32,56.08,27:49
Midleton Greenway,1857.59,52.79,30:57
Monaghan Town,1882.24,52.22,31:22
Mountbellew Forest,1973.26,50.98,32:53
Mountlucas,1922.47,51.95,32:02
Mullingar,1830.07,53.48,30:30
Mungret,1714.42,55.44,28:34
Naas,1717.43,55.73,28:37
Narin Beach,1860.94,52.21,31:00
Navan,1881.46,52.22,31:21
New Ross,1896.87,52.83,31:36
Newcastle West,1961.72,50.33,32:41
Oldbridge,1711.11,55.18,28:31
Oranmore,1737.19,54.3,28:57
Oughterard,2042.17,50.85,34:02
Pobalscoil na Tríonóide,1747.19,56.09,29:07
Poolbeg,1636.5,56.94,27:16
Poppintree,1800.13,53.88,30:00
Porch Field,1868.41,52.81,31:08
Porterstown,1788.23,53.93,29:48
Portumna,1962.93,51.34,32:42
River Valley,1928.72,50.56,32:08
"Royal Canal, Kilcock",1873.98,52.77,31:13
Russborough,1895.22,51.84,31:35
SETU Arena,1955.43,51.03,32:35
Shanganagh,1694.38,56.97,28:14
Sligo,1869.59,52.58,31:09
Sport Ireland Campus,1818.71,54.17,30:18
St Anne’s,1668.27,56.23,27:48
Strokestown,2139.11,48.15,35:39
Templemore,1793.97,55.42,29:53
"The Grand Canal Way, Tullamore",1915.16,52.03,31:55
Tolka Valley,1790.19,53.21,29:50
Tralee,1931.63,52.17,32:11
"Tramore Valley, Cork",1713.2,55.43,28:33
"Tramore, Waterford",1755.31,54.92,29:15
Tubbercurry Trail,2209.46,47.05,36:49
Tullow,1945.4,51.96,32:25
Tymon,1752.61,54.53,29:12
University of Galway,1815.52,52.65,30:15
Vandeleur,2160.62,48.68,36:00
Vicarstown,1897.7,52.98,31:37
Waterstown,1984.85,50.42,33:04
Westport,1665.52,57.59,27:45
Wexford Racecourse,1828.36,54.41,30:28
